dataset_id	operation	endpoint_family	n_responders	n_nonresponders	action	policy
GSE104645	harmonize_lenient	radiographic	112	14	pass_through	lenient
GSE104958	harmonize_lenient	pathologic_response	12	34	pass_through	lenient
GSE109211	harmonize_lenient	pharmacodynamic	42	98	pass_through	lenient
GSE131978	harmonize_lenient	pharmacodynamic	18	19	pass_through	lenient
GSE14615	harmonize_lenient	survival	6	14	pass_through	lenient
GSE14671	harmonize_lenient	pharmacodynamic	41	18	pass_through	lenient
GSE173263	harmonize_lenient	unknown	29	10	pass_through	lenient
GSE19293	harmonize_lenient	radiographic	24	28	pass_through	lenient
GSE20181	harmonize_lenient	pharmacodynamic	110	44	pass_through	lenient
GSE20194	harmonize_lenient	pathologic_response	56	222	pass_through	lenient
GSE20271	harmonize_lenient	pathologic_response	26	152	pass_through	lenient
GSE21974	harmonize_lenient	pathologic_response	18	39	pass_through	lenient
GSE22093	harmonize_lenient	pathologic_response	28	69	pass_through	lenient
GSE23988	harmonize_lenient	pathologic_response	20	41	pass_through	lenient
GSE25066	harmonize_lenient	pathologic_response	99	389	pass_through	lenient
GSE28702	harmonize_lenient	radiographic	42	41	pass_through	lenient
GSE32646	harmonize_lenient	pathologic_response	27	88	pass_through	lenient
GSE35640	harmonize_lenient	pharmacodynamic	22	34	pass_through	lenient
GSE37946	harmonize_lenient	pathologic_response	27	23	pass_through	lenient
GSE41998	harmonize_lenient	radiographic	201	5	pass_through	lenient
GSE44272	harmonize_lenient	pharmacodynamic	35	18	pass_through	lenient
GSE4779	harmonize_lenient	pathologic_response	39	63	pass_through	lenient
GSE48905	harmonize_lenient	radiographic	15	24	pass_through	lenient
GSE50948	harmonize_lenient	pathologic_response	53	103	pass_through	lenient
GSE5122	harmonize_lenient	radiographic	4	53	pass_through	lenient
GSE61676	harmonize_lenient	pharmacodynamic	46	40	pass_through	lenient
GSE62321	harmonize_lenient	pharmacodynamic	26	31	pass_through	lenient
GSE63885	harmonize_lenient	radiographic	65	3	pass_through	lenient
GSE65021	harmonize_lenient	unknown	31	9	pass_through	lenient
GSE66999	harmonize_lenient	radiographic	70	6	pass_through	lenient
GSE6861	harmonize_lenient	pathologic_response	66	95	pass_through	lenient
GSE68871	harmonize_lenient	radiographic	97	21	pass_through	lenient
GSE72970	harmonize_lenient	radiographic	63	61	pass_through	lenient
GSE73578	harmonize_lenient	pharmacodynamic	40	23	pass_through	lenient
GSE76360	harmonize_lenient	pathologic_response	66	30	pass_through	lenient
GSE82172	harmonize_lenient	radiographic	21	131	pass_through	lenient
GSE8970	harmonize_lenient	survival	13	13	pass_through	lenient
GSE9782	harmonize_lenient	radiographic	180	132	pass_through	lenient
GSE104645	harmonize_lenient	radiographic	112	14	pass_through	lenient
GSE104958	harmonize_lenient	pathologic_response	12	34	pass_through	lenient
GSE109211	harmonize_lenient	pharmacodynamic	42	98	pass_through	lenient
GSE131978	harmonize_lenient	pharmacodynamic	18	19	pass_through	lenient
GSE14615	harmonize_lenient	survival	6	14	pass_through	lenient
GSE14671	harmonize_lenient	pharmacodynamic	41	18	pass_through	lenient
GSE173263	harmonize_lenient	unknown	29	10	pass_through	lenient
GSE19293	harmonize_lenient	radiographic	24	28	pass_through	lenient
GSE20181	harmonize_lenient	pharmacodynamic	110	44	pass_through	lenient
GSE20194	harmonize_lenient	pathologic_response	56	222	pass_through	lenient
GSE20271	harmonize_lenient	pathologic_response	26	152	pass_through	lenient
GSE21974	harmonize_lenient	pathologic_response	18	39	pass_through	lenient
GSE22093	harmonize_lenient	pathologic_response	28	69	pass_through	lenient
GSE23988	harmonize_lenient	pathologic_response	20	41	pass_through	lenient
GSE25066	harmonize_lenient	pathologic_response	99	389	pass_through	lenient
GSE28702	harmonize_lenient	radiographic	42	41	pass_through	lenient
GSE32646	harmonize_lenient	pathologic_response	27	88	pass_through	lenient
GSE35640	harmonize_lenient	pharmacodynamic	22	34	pass_through	lenient
GSE37946	harmonize_lenient	pathologic_response	27	23	pass_through	lenient
GSE41998	harmonize_lenient	radiographic	201	5	pass_through	lenient
GSE44272	harmonize_lenient	pharmacodynamic	35	18	pass_through	lenient
GSE4779	harmonize_lenient	pathologic_response	39	63	pass_through	lenient
GSE48905	harmonize_lenient	radiographic	15	24	pass_through	lenient
GSE50948	harmonize_lenient	pathologic_response	53	103	pass_through	lenient
GSE5122	harmonize_lenient	radiographic	4	53	pass_through	lenient
GSE61676	harmonize_lenient	pharmacodynamic	46	40	pass_through	lenient
GSE62321	harmonize_lenient	pharmacodynamic	26	31	pass_through	lenient
GSE63885	harmonize_lenient	radiographic	65	3	pass_through	lenient
GSE65021	harmonize_lenient	unknown	31	9	pass_through	lenient
GSE66999	harmonize_lenient	radiographic	70	6	pass_through	lenient
GSE6861	harmonize_lenient	pathologic_response	66	95	pass_through	lenient
GSE68871	harmonize_lenient	radiographic	97	21	pass_through	lenient
GSE72970	harmonize_lenient	radiographic	63	61	pass_through	lenient
GSE73578	harmonize_lenient	pharmacodynamic	40	23	pass_through	lenient
